Date;Time;Country;Retailer;Device;Page Type;Keyword;Place;Position;Image;Target URL;Type;Category;Brand;Product;Title;Detail;Call to Action;Price;Price From;Price Install;Ad Type;;
2018-01-08;G3;Colombia;Alkosto;Desktop;Home;TV 4K;Listagem;12;https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/235x160/4275c8e8146210f1c7867d9f605120ed/8/8/8806088605180-1_1.jpg;http://www.alkosto.com/celular-samsung-galaxy-j1-mini-pr-ds-3g-negro;Organic;Smartphone;Samsung;Celular Samsung Galaxy J1 Mini Prime DS 3G Negro;New;New;New;$ 219.900;$ 229.900;New;0;;
2018-01-08;G3;Colombia;Alkosto;Desktop;Home;TV 4K;Listagem;13;https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/235x160/4275c8e8146210f1c7867d9f605120ed/j/5/j5white-1.jpg;http://www.alkosto.com/celular-samsung-galaxy-j5-metal-ds-4g-blanco;Organic;Smartphone;Samsung;Celular SAMSUNG Galaxy J5 Metal DS 4G Blanco;New;New;New;$ 519.900;$ 699.900;New;0;;
2018-01-08;G3;Colombia;Alkosto;Desktop;Home;TV 4K;Listagem;14;https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/235x160/4275c8e8146210f1c7867d9f605120ed/c/o/co-galaxy-j5-prime-g570m-sm-g570mzkdcoo-000000001-front-black.jpg;http://www.alkosto.com/celular-libre-samsung-galaxy-j5-prime-ds-negro-4g;Organic;Smartphone;Samsung;Celular Libre SAMSUNG Galaxy J5 Prime DS Negro 4G;New;New;New;$ 629.900;$ 699.900;New;0;;
2018-01-08;G3;Colombia;Alkosto;Desktop;Home;TV 4K;Listagem;15;https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/235x160/4275c8e8146210f1c7867d9f605120ed/7/8/7807311699656-ok.jpg;http://www.alkosto.com/nevera-electrolux-290-lt-ert29l3cni-s;Organic;Refrigerator;Electrolux;Nevera ELECTROLUX 290 Lt ERT29L3CNI Silver;New;New;New;$ 897.532;$ 1.319.900;New;0;;
2018-01-08;G3;Colombia;Alkosto;Desktop;Home;TV 4K;Listagem;16;https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/235x160/4275c8e8146210f1c7867d9f605120ed/8/8/883049388878.jpeg;http://www.alkosto.com/lavadora-whirlpool-18kg-7mwtw1805em-blanco;Organic;Washing Machine;Whirlpool;Lavadora WHIRLPOOL 18Kg 7MWTW1805EM Blanco;New;New;New;$ 1.499.925;$ 1.999.900;New;0;;
2018-01-08;G3;Colombia;Alkosto;Desktop;Home;TV 4K;Listagem;17;https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/235x160/4275c8e8146210f1c7867d9f605120ed/7/5/757638971355_13kg_platino_lca13szi_frente.jpg;http://www.alkosto.com/lavadora-centrales-lca13szi1;Organic;Washing Machine;Centrales;Lavadora CENTRALES 13Kg LCA13SZI1 Gris;New;New;New;$ 1.057.863;$ 1.578.900;New;0;;
2018-01-09;G1;Colombia;Alkosto;Desktop;Home;TV 4K;Carousel;1;https://media.aws.alkosto.com/media/banners/PpalKA-y7Prime-1Ene.jpg;http://www.alkosto.com/celular-libre-huawei-y7-prime-ds-4g-dorado;Ad;Smartphone;Huawei;Y7 Prime;New;New;New;629900;899900;New;Discount;;
2018-01-09;G1;Colombia;Alkosto;Desktop;Home;TV 4K;Carousel;2;https://media.aws.alkosto.com/media/banners/ppal-tv-samsung49MU6300-enero1.jpg;http://www.alkosto.com/tv-49-124cm-samsung-49mu6300-uhd-internet;Ad;TV;Samsung;"49"" LED Ultra HD Smart";New;New;New;1899000;3499000;New;Discount;;
2018-01-09;G1;Colombia;Alkosto;Desktop;Home;TV 4K;Carousel;3;https://media.aws.alkosto.com/media/banners/banprinAK_portasusene1.jpg;http://www.alkosto.com/portatil-asus-x555la-i5-15-negro;Ad;Notebook;Asus;"Portátil Asus X555LA Intel Core i5 15"" 1 Tb Negro";New;New;New;1299000;1599000;New;Discount;;
2018-01-09;G1;Colombia;Alkosto;Desktop;Home;TV 4K;Carousel;5;https://media.aws.alkosto.com/media/banners/PPAL-AK-5-Hasta-30-Dcto-en-Neveras-electrolux-Dic-1-12.jpg;http://www.alkosto.com/las-mejores-ofertas/ofertas-electrohogar/ofertas-electrolux;Ad;Refrigerator;Electrolux;Not Identified;New;New;New;New;New;New;Sponsorship;;
